+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                      ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; IP_DMA|mm_interconnect_0|avalon_st_adapter_001|error_adapter_0                                                                                                             ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|avalon_st_adapter_001                                                                                                                             ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|avalon_st_adapter|error_adapter_0                                                                                                                 ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|avalon_st_adapter                                                                                                                                 ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_to_nios2_gen2_0_instruction_master_rsp_width_adapter|uncompressor                                                             ; 41    ; 4              ; 0            ; 4              ; 32     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_to_nios2_gen2_0_instruction_master_rsp_width_adapter                                                                          ; 89    ; 3              ; 0            ; 3              ; 111    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_to_nios2_gen2_0_data_master_rsp_width_adapter|uncompressor                                                                    ; 41    ; 4              ; 0            ; 4              ; 32     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_to_nios2_gen2_0_data_master_rsp_width_adapter                                                                                 ; 89    ; 3              ; 0            ; 3              ; 111    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_descriptor_slave_to_nios2_gen2_0_data_master_rsp_width_adapter                                                                           ; 224   ; 3              ; 2            ; 3              ; 111    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_instruction_master_to_onchip_memory2_0_s1_cmd_width_adapter                                                                          ; 116   ; 3              ; 0            ; 3              ; 84     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_data_master_to_onchip_memory2_0_s1_cmd_width_adapter                                                                                 ; 116   ; 3              ; 0            ; 3              ; 84     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_data_master_to_msgdma_0_descriptor_slave_cmd_width_adapter|uncompressor                                                              ; 41    ; 4              ; 0            ; 4              ; 32     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_data_master_to_msgdma_0_descriptor_slave_cmd_width_adapter                                                                           ; 116   ; 14             ; 0            ; 14             ; 219    ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_mux_002                                                                                                                                       ; 86    ; 0              ; 2            ; 0              ; 84     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_mux_001|arb|adder                                                                                                                             ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_mux_001|arb                                                                                                                                   ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_mux_001                                                                                                                                       ; 223   ; 0              ; 0            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_mux|arb|adder                                                                                                                                 ; 24    ; 12             ; 0            ; 12             ; 12     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_mux|arb                                                                                                                                       ; 10    ; 0              ; 4            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_mux                                                                                                                                           ; 663   ; 0              ; 0            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_demux_005                                                                                                                                     ; 88    ; 9              ; 2            ; 9              ; 250    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_demux_004                                                                                                                                     ; 221   ; 1              ; 2            ; 1              ; 219    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_demux_003                                                                                                                                     ; 114   ; 4              ; 2            ; 4              ; 221    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_demux_002                                                                                                                                     ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_demux_001                                                                                                                                     ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|rsp_demux                                                                                                                                         ; 113   ; 1              ; 2            ; 1              ; 111    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux_005|arb|adder                                                                                                                             ; 12    ; 3              ; 0            ; 3              ; 6      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux_005|arb                                                                                                                                   ; 7     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux_005                                                                                                                                       ; 252   ; 0              ; 0            ; 0              ; 86     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux_004                                                                                                                                       ; 221   ; 0              ; 2            ; 0              ; 219    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux_003|arb|adder                                                                                                                             ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux_003|arb                                                                                                                                   ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux_003                                                                                                                                       ; 223   ; 0              ; 0            ; 0              ; 112    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux_002                                                                                                                                       ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux_001                                                                                                                                       ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_mux                                                                                                                                           ; 113   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_demux_002                                                                                                                                     ; 86    ; 1              ; 2            ; 1              ; 84     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_demux_001                                                                                                                                     ; 114   ; 4              ; 2            ; 4              ; 221    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|cmd_demux                                                                                                                                         ; 118   ; 36             ; 2            ; 36             ; 661    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_burst_adapter|altera_merlin_burst_adapter_uncompressed_only.burst_adapter                                                     ; 86    ; 5              ; 7            ; 5              ; 84     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_burst_adapter                                                                                                                 ; 86    ; 0              ; 0            ; 0              ; 84     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_008|the_default_decode                                                                                                                     ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_008                                                                                                                                        ; 80    ; 0              ; 2            ; 0              ; 84     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_007|the_default_decode                                                                                                                     ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_007                                                                                                                                        ; 215   ; 0              ; 2            ; 0              ; 219    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_006|the_default_decode                                                                                                                     ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_006                                                                                                                                        ; 107   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_005|the_default_decode                                                                                                                     ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_005                                                                                                                                        ; 107   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_004|the_default_decode                                                                                                                     ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_004                                                                                                                                        ; 107   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_003|the_default_decode                                                                                                                     ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_003                                                                                                                                        ; 107   ; 0              ; 2            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_002|the_default_decode                                                                                                                     ; 0     ; 9              ; 0            ; 9              ; 9      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_002                                                                                                                                        ; 80    ; 9              ; 5            ; 9              ; 84     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_001|the_default_decode                                                                                                                     ; 0     ; 9              ; 0            ; 9              ; 9      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router_001                                                                                                                                        ; 107   ; 0              ; 5            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router|the_default_decode                                                                                                                         ; 0     ; 9              ; 0            ; 9              ; 9      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|router                                                                                                                                            ; 107   ; 0              ; 5            ; 0              ; 111    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_agent_rsp_fifo                                                                                                                ; 120   ; 39             ; 0            ; 39             ; 79     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_agent|uncompressor                                                                                                            ; 41    ; 1              ; 0            ; 1              ; 39     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_agent                                                                                                                         ; 191   ; 13             ; 19           ; 13             ; 206    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_descriptor_slave_agent_rsp_fifo                                                                                                          ; 255   ; 39             ; 0            ; 39             ; 214    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_descriptor_slave_agent|uncompressor                                                                                                      ; 41    ; 1              ; 0            ; 1              ; 39     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_descriptor_slave_agent                                                                                                                   ; 701   ; 137            ; 139          ; 137            ; 735    ; 137             ; 137           ; 137             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent_rsp_fifo                                                                                                       ; 147   ; 39             ; 0            ; 39             ; 106    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent|uncompressor                                                                                                   ; 41    ; 1              ; 0            ; 1              ; 39     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_agent                                                                                                                ; 293   ; 39             ; 43           ; 39             ; 313    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_csr_agent_rsp_fifo                                                                                                                       ; 147   ; 39             ; 0            ; 39             ; 106    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_csr_agent|uncompressor                                                                                                                   ; 41    ; 1              ; 0            ; 1              ; 39     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_csr_agent                                                                                                                                ; 293   ; 39             ; 43           ; 39             ; 313    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|sysid_qsys_0_control_slave_agent_rsp_fifo                                                                                                         ; 147   ; 39             ; 0            ; 39             ; 106    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|sysid_qsys_0_control_slave_agent|uncompressor                                                                                                     ; 41    ; 1              ; 0            ; 1              ; 39     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|sysid_qsys_0_control_slave_agent                                                                                                                  ; 293   ; 39             ; 43           ; 39             ; 313    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent_rsp_fifo                                                                                                      ; 147   ; 39             ; 0            ; 39             ; 106    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent|uncompressor                                                                                                  ; 41    ; 1              ; 0            ; 1              ; 39     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_agent                                                                                                               ; 293   ; 39             ; 43           ; 39             ; 313    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_mm_write_agent                                                                                                                           ; 123   ; 39             ; 73           ; 39             ; 88     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_instruction_master_agent                                                                                                             ; 179   ; 39             ; 75           ; 39             ; 139    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_data_master_agent                                                                                                                    ; 179   ; 39             ; 75           ; 39             ; 139    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|onchip_memory2_0_s1_translator                                                                                                                    ; 53    ; 7              ; 7            ; 7              ; 37     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_descriptor_slave_translator                                                                                                              ; 312   ; 133            ; 22           ; 133            ; 275    ; 133             ; 133           ; 133             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_debug_mem_slave_translator                                                                                                           ; 106   ; 5              ; 14           ; 5              ; 82     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_csr_translator                                                                                                                           ; 106   ; 6              ; 20           ; 6              ; 75     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|sysid_qsys_0_control_slave_translator                                                                                                             ; 106   ; 6              ; 22           ; 6              ; 35     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator                                                                                                          ; 106   ; 5              ; 25           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|msgdma_0_mm_write_translator                                                                                                                      ; 49    ; 21             ; 2            ; 21             ; 38     ; 21              ; 21            ; 21              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_instruction_master_translator                                                                                                        ; 107   ; 51             ; 0            ; 51             ; 99     ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0|nios2_gen2_0_data_master_translator                                                                                                               ; 107   ; 12             ; 0            ; 12             ; 99     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|mm_interconnect_0                                                                                                                                                   ; 252   ; 0              ; 0            ; 0              ; 365    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|sysid_qsys_0                                                                                                                                                        ; 3     ; 15             ; 2            ; 15             ; 32     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|onchip_memory2_0|the_altsyncram|auto_generated|mux2                                                                                                                 ; 67    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|onchip_memory2_0|the_altsyncram|auto_generated|decode3                                                                                                              ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|onchip_memory2_0|the_altsyncram|auto_generated                                                                                                                      ; 27    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|onchip_memory2_0                                                                                                                                                    ; 31    ; 1              ; 1            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|nios2_gen2_0|cpu|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci|the_IP_DMA_nios2_gen2_0_cpu_debug_slave_wrapper|the_IP_DMA_nios2_gen2_0_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|nios2_gen2_0|cpu|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci|the_IP_DMA_nios2_gen2_0_cpu_debug_slave_wrapper|the_IP_DMA_nios2_gen2_0_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|nios2_gen2_0|cpu|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci|the_IP_DMA_nios2_gen2_0_cpu_debug_slave_wrapper                                                              ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|nios2_gen2_0|cpu|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci|the_IP_DMA_nios2_gen2_0_cpu_nios2_ocimem|IP_DMA_nios2_gen2_0_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|nios2_gen2_0|cpu|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci|the_IP_DMA_nios2_gen2_0_cpu_nios2_ocimem|IP_DMA_nios2_gen2_0_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|nios2_gen2_0|cpu|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci|the_IP_DMA_nios2_gen2_0_cpu_nios2_ocimem                                                                     ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|nios2_gen2_0|cpu|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci|the_IP_DMA_nios2_gen2_0_cpu_nios2_avalon_reg                                                                 ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|nios2_gen2_0|cpu|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci_im                                                                     ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; IP_DMA|nios2_gen2_0|cpu|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci|the_IP_DMA_nios2_gen2_0_cpu_nios2_oci_pib                                                                    ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
